id,user_id,product_id,event_type,event_time,category_id,price,user_session,user_agent,ip_address,email,name,year_birth,education,marital_status,income,kidhome,teenhome,user_created_at,age,income_level
4fc8b796-9852-4b7f-86dd-cc7a09c73b8f,0690a6e2-2204-4e86-bad9-2e9e61852ffc,6,purchase,2025-09-16 15:20:08.988057+00,5,313011.67,session_1758010808988,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,phamkhoinguyenn337@gmail.con,phạm khôi nguyên,2005.0,Master,Single,1000000000.0,0,0,2025-08-21 15:20:08.988057+00,20.0,Very High
7be418f3-ac11-4c3f-95f4-ad1fccfc76a5,0690a6e2-2204-4e86-bad9-2e9e61852ffc,20,view,2025-09-15 15:20:08.988112+00,5,168937.64,session_1757924408988,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_11 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",,phamkhoinguyenn337@gmail.con,phạm khôi nguyên,2005.0,Master,Single,1000000000.0,0,0,2025-09-12 15:20:08.988112+00,20.0,Very High
8f4afd5b-b108-4fbb-953b-23424f54e2d2,0690a6e2-2204-4e86-bad9-2e9e61852ffc,15,view,2025-08-26 15:20:08.988152+00,3,317346.59,session_1756196408988,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,phamkhoinguyenn337@gmail.con,phạm khôi nguyên,2005.0,Master,Single,1000000000.0,0,0,2025-08-05 15:20:08.988152+00,20.0,Very High
053f7dee-855d-4cc3-99fd-d79494d7e2fe,07dc7d52-a61c-42cd-bd63-ca0a9d82ca91,16,purchase,2025-09-04 15:20:08.988224+00,1,81179.96,session_1756974008988,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,tho458373@gmail.com,Hồ Nguyễn Trọng Trung,2005.0,Master,Single,50000000.0,0,0,2025-08-24 15:20:08.988224+00,20.0,Medium
43251060-3e1a-4d95-bf5d-712366551e61,07dc7d52-a61c-42cd-bd63-ca0a9d82ca91,8,purchase,2025-08-28 15:20:08.988257+00,1,108000.97,session_1756369208988,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_11 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",,tho458373@gmail.com,Hồ Nguyễn Trọng Trung,2005.0,Master,Single,50000000.0,0,0,2025-08-19 15:20:08.988257+00,20.0,Medium
37858dda-e214-49cb-a3d7-be05546a00c1,07dc7d52-a61c-42cd-bd63-ca0a9d82ca91,2,purchase,2025-09-16 15:20:08.988290+00,1,126359.8,session_1758010808988,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,tho458373@gmail.com,Hồ Nguyễn Trọng Trung,2005.0,Master,Single,50000000.0,0,0,2025-09-13 15:20:08.988290+00,20.0,Medium
b16e170d-522f-423b-a002-48db9ad10920,07dc7d52-a61c-42cd-bd63-ca0a9d82ca91,2,purchase,2025-09-15 15:20:08.988325+00,5,110341.42,session_1757924408988,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,tho458373@gmail.com,Hồ Nguyễn Trọng Trung,2005.0,Master,Single,50000000.0,0,0,2025-08-20 15:20:08.988325+00,20.0,Medium
0eba34ef-628f-4f84-9b28-71b58954a8bc,08d6a680-ac61-4281-ae67-a3b4858b72ee,11,view,2025-08-21 15:20:08.988380+00,10,83081.34,session_1755764408988,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,dautay@gmail.com,dâu tây,2022.0,Basic,Single,,0,0,2025-08-17 15:20:08.988380+00,3.0,Unknown
4977064c-c7fa-4427-964e-bd41d16d908e,08d6a680-ac61-4281-ae67-a3b4858b72ee,4,view,2025-08-27 15:20:08.988414+00,6,125109.08,session_1756282808988,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,dautay@gmail.com,dâu tây,2022.0,Basic,Single,,0,0,2025-08-11 15:20:08.988414+00,3.0,Unknown
cbda289d-5fb9-462a-bbdf-7d2cb5f90b07,0fcc57c0-aedb-41e1-bdfb-e612f1983fa0,7,purchase,2025-09-01 15:20:08.988465+00,3,133506.87,session_1756714808988,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,dragontran1988@gmail.com,Long,2008.0,Basic,Single,100000000.0,1,1,2025-08-11 15:20:08.988465+00,17.0,High
b88618b5-ae2b-4560-8a72-76788e604a19,11f9a1cc-73f4-447f-b7b0-dfd57cd4d811,6,view,2025-09-16 15:20:08.988515+00,10,109501.56,session_1758010808988,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,trannguyentu23072005@gmail.com,Trần Nguyên Tú,2005.0,Master,Single,0.0,0,0,2025-09-04 15:20:08.988515+00,20.0,Unknown
61dee0e8-9d2b-4856-913d-c14bc2f90b23,11f9a1cc-73f4-447f-b7b0-dfd57cd4d811,17,view,2025-09-13 15:20:08.988553+00,10,101432.01,session_1757751608988,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_11 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",,trannguyentu23072005@gmail.com,Trần Nguyên Tú,2005.0,Master,Single,0.0,0,0,2025-09-09 15:20:08.988553+00,20.0,Unknown
2cb86bbd-6483-4197-8feb-a7e22e6e19cc,11f9a1cc-73f4-447f-b7b0-dfd57cd4d811,7,view,2025-08-28 15:20:08.988586+00,8,77684.42,session_1756369208988,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,trannguyentu23072005@gmail.com,Trần Nguyên Tú,2005.0,Master,Single,0.0,0,0,2025-08-11 15:20:08.988586+00,20.0,Unknown
